ProjectID,StartDate,PlannedDurationDays,EndDate,ActualDurationDays,ActualEndDate,Budget,ActualCost,TeamSize,Complexity,Risk,Status,ScheduleVarianceDays,CostVariance,Success
P023,2021-02-08,276,2021-11-11,355,2022-01-29,98859,148359,30,Low,Medium,Completed,79,49500,0
P024,2019-12-10,353,2020-11-27,366,2020-12-10,119657,168170,47,Medium,Low,In Progress,13,48513,0
P025,2023-02-24,232,2023-10-14,263,2023-11-14,162047,178781,16,Low,Low,In Progress,31,16734,0
P026,2022-12-08,213,2023-07-09,287,2023-09-21,31023,27394,30,Medium,High,In Progress,74,-3629,0
P027,2021-03-16,152,2021-08-15,141,2021-08-04,41447,84805,17,Medium,Low,Completed,-11,43358,0
P028,2020-01-21,284,2020-10-31,282,2020-10-29,145899,161968,44,Low,High,In Progress,-2,16069,0
P029,2022-04-30,323,2023-03-19,360,2023-04-25,43959,48328,22,Medium,Low,Completed,37,4369,0
P030,2021-08-13,309,2022-06-18,384,2022-09-01,86203,89113,29,Low,Low,Completed,75,2910,0
P031,2019-10-04,354,2020-09-22,334,2020-09-02,139156,137099,37,Low,Low,Completed,-20,-2057,1
P032,2022-03-30,127,2022-08-04,226,2022-11-11,180775,182974,44,Medium,Medium,Completed,99,2199,0
P033,2020-04-04,227,2020-11-17,275,2021-01-04,29337,35065,47,Medium,Low,Completed,48,5728,0
P034,2022-08-30,269,2023-05-26,357,2023-08-22,66427,79702,16,Medium,High,Completed,88,13275,0
P035,2019-01-22,173,2019-07-14,156,2019-06-27,81529,78267,48,Medium,Low,Completed,-17,-3262,1
P036,2019-09-10,126,2020-01-14,121,2020-01-09,122023,127936,40,Low,High,Completed,-5,5913,0
P037,2021-01-17,230,2021-09-04,233,2021-09-07,104665,129905,8,High,Low,Completed,3,25240,0
P038,2021-05-06,153,2021-10-06,212,2021-12-04,125787,134910,9,Medium,High,Completed,59,9123,0
P039,2023-05-04,216,2023-12-06,314,2024-03-13,182993,227546,41,Medium,Medium,Completed,98,44553,0
P040,2020-04-19,355,2021-04-09,336,2021-03-21,53307,91754,12,Low,Medium,Completed,-19,38447,0
P041,2021-12-18,288,2022-10-02,380,2023-01-02,178427,202956,46,Medium,High,Completed,92,24529,0
P042,2020-05-25,177,2020-11-18,248,2021-01-28,147016,147183,32,Low,Medium,Completed,71,167,0
P043,2023-09-02,281,2024-06-09,292,2024-06-20,24835,25389,35,Low,Medium,Completed,11,554,0
P044,2023-02-08,176,2023-08-03,246,2023-10-12,40159,47419,13,High,Low,Completed,70,7260,0
P045,2020-11-30,177,2021-05-26,240,2021-07-28,198677,235722,33,Low,Low,Completed,63,37045,0
P046,2021-09-02,228,2022-04-18,231,2022-04-21,141790,135602,18,High,High,Completed,3,-6188,0
P047,2023-12-12,337,2024-11-13,328,2024-11-04,125616,143640,44,Medium,Medium,In Progress,-9,18024,0
P048,2019-07-09,157,2019-12-13,186,2020-01-11,189160,237816,45,Low,Medium,Completed,29,48656,0
P049,2021-08-15,68,2021-10-22,82,2021-11-05,98752,139364,26,Medium,Low,Completed,14,40612,0
P050,2020-11-17,158,2021-04-24,170,2021-05-06,75284,92569,15,High,Low,Completed,12,17285,0
P051,2021-08-15,296,2022-06-07,308,2022-06-19,77043,93943,27,Medium,Low,Completed,12,16900,0
P052,2020-07-16,180,2021-01-12,220,2021-02-21,186619,227504,5,High,Medium,Completed,40,40885,0
P053,2023-05-10,327,2024-04-01,357,2024-05-01,117007,108612,41,Medium,Low,Completed,30,-8395,0
P054,2022-06-21,128,2022-10-27,150,2022-11-18,102844,98466,25,Medium,Low,Completed,22,-4378,0
P055,2021-04-11,292,2022-01-28,372,2022-04-18,47532,44299,30,High,Low,Completed,80,-3233,0
P056,2023-03-09,281,2023-12-15,272,2023-12-06,185421,202560,40,Low,Low,Completed,-9,17139,0
P057,2022-02-28,173,2022-08-20,219,2022-10-05,142402,144015,27,Medium,Medium,In Progress,46,1613,0
P058,2023-02-17,141,2023-07-08,185,2023-08-21,138012,184150,5,Low,Low,In Progress,44,46138,0
P059,2020-10-08,89,2021-01-05,101,2021-01-17,196517,239186,44,High,Medium,In Progress,12,42669,0
P060,2019-01-21,31,2019-02-21,50,2019-03-12,156785,157374,19,High,Low,Cancelled,19,589,0
P061,2021-04-20,333,2022-03-19,386,2022-05-11,76178,80096,25,Low,Low,Completed,53,3918,0
P062,2019-06-16,283,2020-03-25,305,2020-04-16,69407,79526,13,Medium,Low,Completed,22,10119,0
P063,2022-07-21,169,2023-01-06,192,2023-01-29,70990,88436,13,High,Low,Completed,23,17446,0
P064,2020-01-23,66,2020-03-29,74,2020-04-06,149473,197977,14,Low,Low,Completed,8,48504,0
P065,2020-08-23,189,2021-02-28,181,2021-02-20,78141,81187,30,Medium,Low,In Progress,-8,3046,0
P066,2019-11-12,38,2019-12-20,29,2019-12-11,174865,189683,45,High,Medium,Completed,-9,14818,0
P067,2019-01-14,262,2019-10-03,336,2019-12-16,76570,101928,39,Low,Low,In Progress,74,25358,0
P068,2019-08-30,128,2020-01-05,153,2020-01-30,188964,229179,29,Medium,Medium,Completed,25,40215,0
P069,2021-02-15,176,2021-08-10,157,2021-07-22,21015,15339,30,Low,High,In Progress,-19,-5676,0
P070,2022-10-01,333,2023-08-30,427,2023-12-02,81813,82600,15,High,Medium,Completed,94,787,0
P071,2020-07-18,237,2021-03-12,330,2021-06-13,47712,46823,42,High,Low,Completed,93,-889,0
P072,2021-06-16,160,2021-11-23,174,2021-12-07,120497,148607,6,High,Low,Completed,14,28110,0
P073,2022-09-25,181,2023-03-25,247,2023-05-30,159487,165876,11,Medium,Low,Completed,66,6389,0
P074,2019-04-02,83,2019-06-24,143,2019-08-23,132816,179457,22,High,Low,Completed,60,46641,0
P075,2022-10-22,149,2023-03-20,218,2023-05-28,148778,180205,31,High,High,Completed,69,31427,0
P076,2021-08-13,190,2022-02-19,177,2022-02-06,82292,86335,38,Low,Low,In Progress,-13,4043,0
P077,2023-01-18,145,2023-06-12,217,2023-08-23,43833,62579,31,High,Low,Completed,72,18746,0
P078,2022-12-22,104,2023-04-05,109,2023-04-10,155230,202577,21,Low,Medium,Completed,5,47347,0
P079,2020-05-23,142,2020-10-12,195,2020-12-04,40309,52659,47,Medium,Medium,Completed,53,12350,0
P080,2021-02-14,133,2021-06-27,202,2021-09-04,26970,58575,48,Low,Medium,In Progress,69,31605,0
P081,2019-02-04,283,2019-11-14,296,2019-11-27,92474,82591,28,Low,Low,Completed,13,-9883,0
P082,2019-07-25,256,2020-04-06,350,2020-07-09,66540,103225,29,Low,Low,Completed,94,36685,0
P083,2022-01-09,141,2022-05-30,225,2022-08-22,171456,180391,11,Medium,Medium,Completed,84,8935,0
P084,2023-05-05,128,2023-09-10,114,2023-08-27,38017,75094,10,Low,Low,Completed,-14,37077,0
P085,2022-11-12,182,2023-05-13,229,2023-06-29,95880,99114,28,Medium,Low,Completed,47,3234,0
P086,2021-10-22,223,2022-06-02,260,2022-07-09,125570,153898,37,Low,Low,Completed,37,28328,0
P087,2021-10-18,339,2022-09-22,435,2022-12-27,28702,72143,33,Low,Low,Completed,96,43441,0
P088,2022-11-14,192,2023-05-25,285,2023-08-26,151456,142302,47,Medium,Low,In Progress,93,-9154,0
P089,2020-07-19,237,2021-03-13,325,2021-06-09,20404,21358,26,Medium,Low,Completed,88,954,0
P090,2022-02-03,198,2022-08-20,252,2022-10-13,192015,195718,30,Low,Medium,Completed,54,3703,0
P091,2023-12-01,190,2024-06-08,198,2024-06-16,198998,237151,32,Medium,Medium,Completed,8,38153,0
P092,2023-02-09,97,2023-05-17,196,2023-08-24,180261,216775,25,High,High,Cancelled,99,36514,0
P093,2020-12-03,318,2021-10-17,333,2021-11-01,32763,45463,11,Medium,Low,Completed,15,12700,0
P094,2020-02-06,306,2020-12-08,374,2021-02-14,169456,191499,21,Low,Low,In Progress,68,22043,0
P095,2020-12-30,333,2021-11-28,333,2021-11-28,118142,114611,24,Low,Low,Completed,0,-3531,1
P096,2023-04-29,164,2023-10-10,179,2023-10-25,160932,181037,45,High,Medium,Completed,15,20105,0
P097,2019-06-11,224,2020-01-21,213,2020-01-10,100642,132743,24,Low,Medium,Completed,-11,32101,0
P098,2019-07-21,157,2019-12-25,237,2020-03-14,70612,86998,26,High,Low,Cancelled,80,16386,0
P099,2021-09-22,62,2021-11-23,114,2022-01-14,43574,91641,32,Medium,High,Completed,52,48067,0
P100,2019-09-27,205,2020-04-19,208,2020-04-22,43524,82900,44,High,Low,In Progress,3,39376,0
P101,2021-03-26,51,2021-05-16,94,2021-06-28,30916,66503,11,Medium,Medium,In Progress,43,35587,0
P102,2022-07-18,267,2023-04-11,345,2023-06-28,24809,51785,5,High,Medium,Completed,78,26976,0
P103,2020-03-31,187,2020-10-04,215,2020-11-01,183273,212324,36,Low,High,Completed,28,29051,0
P104,2023-01-25,67,2023-04-02,145,2023-06-19,164528,156576,17,Medium,Medium,Completed,78,-7952,0
P105,2023-10-17,259,2024-07-02,350,2024-10-01,141288,170289,34,Medium,High,Completed,91,29001,0
P106,2022-06-29,80,2022-09-17,95,2022-10-02,58765,61706,27,Medium,Low,In Progress,15,2941,0
P107,2021-10-13,293,2022-08-02,354,2022-10-02,185888,221263,23,Medium,High,In Progress,61,35375,0
P108,2023-09-22,312,2024-07-30,404,2024-10-30,65106,97639,36,High,Low,Completed,92,32533,0
P109,2019-10-23,56,2019-12-18,138,2020-03-09,73932,65760,34,High,High,Completed,82,-8172,0
P110,2023-10-15,255,2024-06-26,330,2024-09-09,168172,160089,33,Medium,Medium,In Progress,75,-8083,0
P111,2020-12-20,306,2021-10-22,309,2021-10-25,77091,87709,49,Medium,High,Completed,3,10618,0
P112,2023-11-08,315,2024-09-18,317,2024-09-20,41949,64203,33,Medium,Low,In Progress,2,22254,0
P113,2019-12-04,126,2020-04-08,167,2020-05-19,57744,87500,34,Medium,Medium,Completed,41,29756,0
P114,2021-05-28,313,2022-04-06,388,2022-06-20,196615,237793,20,Low,Medium,Completed,75,41178,0
P115,2021-12-12,346,2022-11-23,362,2022-12-09,128319,165681,44,Low,Medium,Completed,16,37362,0
P116,2021-03-02,333,2022-01-29,324,2022-01-20,112193,122321,23,Low,Low,Completed,-9,10128,0
P117,2019-08-05,176,2020-01-28,268,2020-04-29,56187,104432,22,Low,Low,Completed,92,48245,0
P118,2021-02-02,33,2021-03-07,67,2021-04-10,158311,194056,5,Low,Low,Completed,34,35745,0
P119,2019-07-07,64,2019-09-09,56,2019-09-01,144454,193837,18,Low,Low,Completed,-8,49383,0
P120,2020-01-15,221,2020-08-23,223,2020-08-25,34489,24498,6,Low,High,In Progress,2,-9991,0
P121,2020-05-07,78,2020-07-24,146,2020-09-30,81877,88521,32,Low,Low,In Progress,68,6644,0
P122,2021-11-30,46,2022-01-15,124,2022-04-03,194197,206619,34,High,High,Completed,78,12422,0
P123,2022-03-26,201,2022-10-13,285,2023-01-05,69922,69787,42,Medium,Low,Completed,84,-135,0
P124,2019-01-15,249,2019-09-21,258,2019-09-30,114074,106293,8,Low,Low,Completed,9,-7781,0
P125,2019-03-06,187,2019-09-09,183,2019-09-05,183121,212930,5,Medium,Medium,Completed,-4,29809,0
P126,2020-06-04,75,2020-08-18,167,2020-11-18,57131,98343,12,Low,Medium,Completed,92,41212,0
P127,2022-09-29,35,2022-11-03,76,2022-12-14,194016,189303,33,High,Low,Completed,41,-4713,0
P128,2022-02-26,128,2022-07-04,191,2022-09-05,135765,160152,43,Medium,Medium,Completed,63,24387,0
P129,2020-10-09,262,2021-06-28,353,2021-09-27,93963,92475,7,Low,Medium,Completed,91,-1488,0
P130,2023-02-04,66,2023-04-11,134,2023-06-18,126884,118226,36,Medium,Low,Completed,68,-8658,0
P131,2021-12-22,309,2022-10-27,374,2022-12-31,145917,179253,14,High,High,Completed,65,33336,0
P132,2022-03-08,331,2023-02-02,323,2023-01-25,44285,53501,14,High,High,Cancelled,-8,9216,0
P133,2023-03-03,210,2023-09-29,248,2023-11-06,57626,99602,23,Medium,Medium,Completed,38,41976,0
P134,2020-08-15,124,2020-12-17,122,2020-12-15,193880,235026,38,Medium,Low,Completed,-2,41146,0
P135,2020-01-27,128,2020-06-03,156,2020-07-01,39198,56732,37,Low,Medium,Completed,28,17534,0
P136,2023-08-26,217,2024-03-30,296,2024-06-17,170830,175061,27,High,Low,Completed,79,4231,0
P137,2020-02-23,145,2020-07-17,136,2020-07-08,35254,57547,32,Low,Low,In Progress,-9,22293,0
P138,2019-10-16,220,2020-05-23,260,2020-07-02,64238,80852,36,High,Low,Completed,40,16614,0
P139,2020-01-14,282,2020-10-22,366,2021-01-14,21252,47510,11,Medium,Low,Cancelled,84,26258,0
P140,2023-12-02,190,2024-06-09,188,2024-06-07,59764,78017,33,Medium,High,Completed,-2,18253,0
P141,2023-02-22,285,2023-12-04,340,2024-01-28,97709,129787,12,Medium,Medium,Completed,55,32078,0
P142,2019-08-19,352,2020-08-05,340,2020-07-24,188513,219265,5,Low,Medium,In Progress,-12,30752,0
P143,2021-10-14,157,2022-03-20,207,2022-05-09,73682,81670,7,Low,Low,Completed,50,7988,0
P144,2019-02-10,47,2019-03-29,54,2019-04-05,79494,100531,28,Low,Low,Completed,7,21037,0
P145,2021-11-17,310,2022-09-23,367,2022-11-19,101317,103536,27,Low,Low,Completed,57,2219,0
P146,2019-05-15,252,2020-01-22,326,2020-04-05,85215,75450,12,Medium,High,Completed,74,-9765,0
P147,2019-07-20,83,2019-10-11,114,2019-11-11,98587,131516,41,Low,Low,In Progress,31,32929,0
P148,2021-02-18,87,2021-05-16,149,2021-07-17,26949,18857,7,Low,High,Completed,62,-8092,0
P149,2021-07-18,352,2022-07-05,442,2022-10-03,75393,73960,37,High,Medium,Completed,90,-1433,0
P150,2021-11-22,203,2022-06-13,198,2022-06-08,158013,184311,32,High,Low,Completed,-5,26298,0
P151,2021-12-07,309,2022-10-12,405,2023-01-16,45934,41190,12,High,Medium,Completed,96,-4744,0
P152,2020-05-17,143,2020-10-07,191,2020-11-24,174458,183477,38,High,Low,Completed,48,9019,0
P153,2020-02-11,317,2020-12-24,395,2021-03-12,95745,93907,39,Low,High,Completed,78,-1838,0
P154,2023-05-17,180,2023-11-13,171,2023-11-04,114456,163370,36,Low,High,Completed,-9,48914,0
P155,2023-10-18,156,2024-03-22,160,2024-03-26,73413,115125,28,Medium,Low,In Progress,4,41712,0
P156,2021-03-15,184,2021-09-15,215,2021-10-16,117239,112654,18,Medium,Low,Completed,31,-4585,0
P157,2019-04-09,302,2020-02-05,366,2020-04-09,62318,88477,36,Low,Medium,Completed,64,26159,0
P158,2020-11-14,133,2021-03-27,212,2021-06-14,90390,124315,47,High,High,In Progress,79,33925,0
P159,2020-12-26,328,2021-11-19,360,2021-12-21,63088,59039,20,Low,Low,Completed,32,-4049,0
P160,2023-04-20,275,2024-01-20,277,2024-01-22,123196,135048,8,Low,Medium,Completed,2,11852,0
P161,2021-08-18,205,2022-03-11,200,2022-03-06,190883,188890,41,Medium,Medium,Completed,-5,-1993,1
P162,2023-10-29,68,2024-01-05,104,2024-02-10,75479,107311,25,Medium,Medium,Completed,36,31832,0
P163,2020-09-04,199,2021-03-22,217,2021-04-09,39963,88559,18,Medium,Low,Completed,18,48596,0
P164,2023-01-25,276,2023-10-28,364,2024-01-24,75123,120688,35,Low,Medium,Cancelled,88,45565,0
P165,2020-10-04,55,2020-11-28,87,2020-12-30,145911,166434,22,High,High,Completed,32,20523,0
P166,2023-11-28,335,2024-10-28,356,2024-11-18,122468,135793,11,Low,Low,Completed,21,13325,0
P167,2021-10-25,42,2021-12-06,79,2022-01-12,93477,142135,14,Low,Low,In Progress,37,48658,0
P168,2022-05-26,345,2023-05-06,363,2023-05-24,34388,45592,11,High,High,Completed,18,11204,0
P169,2020-05-17,342,2021-04-24,335,2021-04-17,25569,31093,37,High,Low,Completed,-7,5524,0
P170,2021-02-05,65,2021-04-11,139,2021-06-24,89836,99118,27,High,High,Completed,74,9282,0
P171,2020-02-02,202,2020-08-22,186,2020-08-06,124573,138503,25,High,Low,Cancelled,-16,13930,0
P172,2021-05-20,49,2021-07-08,63,2021-07-22,187658,177735,23,Medium,Low,Completed,14,-9923,0
P173,2021-03-05,350,2022-02-18,416,2022-04-25,163087,193432,23,Medium,High,Completed,66,30345,0
P174,2020-01-28,293,2020-11-16,365,2021-01-27,65002,114967,40,Low,Low,Completed,72,49965,0
P175,2019-07-26,171,2020-01-13,257,2020-04-08,157326,167937,33,Medium,Medium,Completed,86,10611,0
P176,2021-11-04,172,2022-04-25,226,2022-06-18,168216,175200,22,Low,Low,Completed,54,6984,0
P177,2023-04-27,121,2023-08-26,118,2023-08-23,175286,179346,6,Low,Medium,Completed,-3,4060,0
P178,2021-06-10,351,2022-05-27,441,2022-08-25,157162,164611,5,Medium,Low,In Progress,90,7449,0
P179,2023-01-24,317,2023-12-07,372,2024-01-31,162709,171229,9,Medium,Low,Completed,55,8520,0
P180,2023-09-11,244,2024-05-12,232,2024-04-30,173487,223280,24,Low,High,Completed,-12,49793,0
P181,2023-05-18,80,2023-08-06,133,2023-09-28,44071,77374,15,Low,Low,In Progress,53,33303,0
P182,2021-05-13,182,2021-11-11,219,2021-12-18,78243,127450,46,Medium,Medium,In Progress,37,49207,0
P183,2021-01-12,215,2021-08-15,302,2021-11-10,145827,145337,6,Low,Low,Completed,87,-490,0
P184,2022-06-18,92,2022-09-18,88,2022-09-14,128215,147502,7,High,Medium,Completed,-4,19287,0
P185,2020-07-17,219,2021-02-21,300,2021-05-13,192312,210485,27,Medium,Low,Completed,81,18173,0
P186,2021-10-17,154,2022-03-20,140,2022-03-06,121570,151281,16,Medium,High,Cancelled,-14,29711,0
P187,2019-04-06,179,2019-10-02,204,2019-10-27,184506,186460,24,Medium,Low,In Progress,25,1954,0
P188,2023-10-24,343,2024-10-01,335,2024-09-23,89724,87528,9,High,Low,Completed,-8,-2196,1
P189,2020-04-29,87,2020-07-25,106,2020-08-13,135359,131924,41,Low,Low,In Progress,19,-3435,0
P190,2022-12-01,334,2023-10-31,355,2023-11-21,95697,91681,42,Medium,Low,Completed,21,-4016,0
P191,2019-08-19,209,2020-03-15,197,2020-03-03,48732,60258,34,Medium,Medium,Completed,-12,11526,0
P192,2021-01-18,199,2021-08-05,228,2021-09-03,141465,168903,13,Low,Low,Completed,29,27438,0
P193,2023-08-06,355,2024-07-26,361,2024-08-01,162386,170960,38,High,High,In Progress,6,8574,0
P194,2022-04-09,300,2023-02-03,345,2023-03-20,175026,174210,48,Medium,Low,Completed,45,-816,0
P195,2020-06-24,83,2020-09-15,67,2020-08-30,77108,86204,39,Medium,Low,In Progress,-16,9096,0
P196,2021-11-25,130,2022-04-04,138,2022-04-12,131195,123387,26,High,Medium,In Progress,8,-7808,0
P197,2020-06-08,293,2021-03-28,309,2021-04-13,123081,147097,48,High,Medium,In Progress,16,24016,0
P198,2022-03-29,82,2022-06-19,99,2022-07-06,56668,57914,28,Medium,Low,Completed,17,1246,0
P199,2023-09-19,89,2023-12-17,151,2024-02-17,43061,78619,21,High,Low,Completed,62,35558,0
P200,2022-06-20,137,2022-11-04,124,2022-10-22,99252,142437,14,Medium,Low,Completed,-13,43185,0
P201,2022-01-14,34,2022-02-17,125,2022-05-19,59749,68130,34,Medium,Medium,Completed,91,8381,0
P202,2023-12-25,132,2024-05-05,220,2024-08-01,150560,177015,27,Medium,Medium,Completed,88,26455,0
P203,2020-07-31,225,2021-03-13,269,2021-04-26,124680,141407,36,Medium,Low,In Progress,44,16727,0
P204,2020-11-12,291,2021-08-30,356,2021-11-03,167979,161997,21,Low,High,Completed,65,-5982,0
P205,2020-07-10,76,2020-09-24,171,2020-12-28,169849,171151,21,High,High,Completed,95,1302,0
P206,2023-05-17,340,2024-04-21,336,2024-04-17,71745,63715,18,High,Medium,Completed,-4,-8030,1
P207,2021-10-09,337,2022-09-11,387,2022-10-31,128464,159621,13,Low,High,Completed,50,31157,0
P208,2020-10-07,173,2021-03-29,241,2021-06-05,111865,156782,44,High,Low,Completed,68,44917,0
P209,2021-03-06,298,2021-12-29,322,2022-01-22,132428,149630,6,Low,Low,Completed,24,17202,0
P210,2021-11-17,153,2022-04-19,136,2022-04-02,43624,64734,49,Low,Low,In Progress,-17,21110,0
P211,2023-07-02,135,2023-11-14,150,2023-11-29,43321,50907,29,Medium,Low,Completed,15,7586,0
P212,2023-04-29,187,2023-11-02,236,2023-12-21,161560,176079,43,Low,Medium,Cancelled,49,14519,0
P213,2022-09-25,176,2023-03-20,186,2023-03-30,42574,63847,13,High,High,In Progress,10,21273,0
P214,2023-12-27,174,2024-06-18,172,2024-06-16,156312,168263,26,High,Low,Completed,-2,11951,0
P215,2022-09-16,149,2023-02-12,189,2023-03-24,194293,241112,47,Medium,Low,In Progress,40,46819,0
P216,2023-07-22,348,2024-07-04,435,2024-09-29,161550,166924,8,Low,Low,Completed,87,5374,0
P217,2023-03-10,304,2024-01-08,337,2024-02-10,170334,215228,30,Low,High,In Progress,33,44894,0
P218,2022-10-03,121,2023-02-01,139,2023-02-19,138831,134619,33,Medium,Low,Completed,18,-4212,0
P219,2023-02-05,87,2023-05-03,157,2023-07-12,155504,150912,49,High,Medium,In Progress,70,-4592,0
P220,2022-06-08,258,2023-02-21,311,2023-04-15,115257,164636,38,Medium,Low,In Progress,53,49379,0
P221,2019-07-09,146,2019-12-02,215,2020-02-09,84291,99344,27,Low,Low,In Progress,69,15053,0
P222,2022-06-02,347,2023-05-15,345,2023-05-13,147600,147046,41,Medium,High,In Progress,-2,-554,0
P223,2022-11-09,308,2023-09-13,326,2023-10-01,70428,61350,15,Medium,High,Completed,18,-9078,0
P224,2022-11-01,156,2023-04-06,202,2023-05-22,151374,174561,10,Medium,Low,Completed,46,23187,0
P225,2022-07-30,158,2023-01-04,182,2023-01-28,151127,192483,22,Low,High,Completed,24,41356,0
P226,2020-09-24,87,2020-12-20,79,2020-12-12,131317,132106,25,Medium,Medium,Completed,-8,789,0
P227,2020-09-19,151,2021-02-17,244,2021-05-21,159789,181973,46,Medium,High,Completed,93,22184,0
P228,2021-08-30,30,2021-09-29,101,2021-12-09,147449,138569,40,High,Low,Completed,71,-8880,0
P229,2023-11-04,268,2024-07-29,305,2024-09-04,48699,82727,45,Low,Medium,Cancelled,37,34028,0
P230,2022-07-06,319,2023-05-21,318,2023-05-20,93686,115840,42,Medium,Low,Completed,-1,22154,0
P231,2022-10-14,125,2023-02-16,196,2023-04-28,87661,94995,38,High,Medium,In Progress,71,7334,0
P232,2020-12-10,155,2021-05-14,206,2021-07-04,64247,56583,21,Low,Low,Completed,51,-7664,0
P233,2023-01-19,147,2023-06-15,187,2023-07-25,167820,195961,41,High,Low,In Progress,40,28141,0
P234,2022-12-05,77,2023-02-20,161,2023-05-15,125113,117356,29,Medium,Low,In Progress,84,-7757,0
P235,2020-10-10,118,2021-02-05,136,2021-02-23,24621,33650,42,Low,Medium,Completed,18,9029,0
P236,2019-11-14,266,2020-08-06,246,2020-07-17,166106,215307,16,Low,Low,Completed,-20,49201,0
P237,2023-08-28,301,2024-06-24,283,2024-06-06,156198,178463,27,Medium,Medium,In Progress,-18,22265,0
P238,2022-06-02,218,2023-01-06,274,2023-03-03,156194,183574,46,Low,High,Completed,56,27380,0
P239,2022-06-11,221,2023-01-18,292,2023-03-30,38030,74744,26,Medium,Low,Completed,71,36714,0
P240,2020-11-14,98,2021-02-20,139,2021-04-02,102838,143855,25,Low,Medium,Completed,41,41017,0
P241,2020-10-25,307,2021-08-28,349,2021-10-09,104717,138589,31,Medium,Low,Completed,42,33872,0
P242,2022-10-29,276,2023-08-01,368,2023-11-01,58638,94835,35,Low,High,Completed,92,36197,0
P243,2023-08-23,105,2023-12-06,109,2023-12-10,87067,132247,10,High,Low,Completed,4,45180,0
P244,2023-06-20,183,2023-12-20,218,2024-01-24,138033,151743,31,High,Medium,Completed,35,13710,0
P245,2023-02-04,173,2023-07-27,185,2023-08-08,125977,145463,44,High,High,Completed,12,19486,0
P246,2022-06-10,115,2022-10-03,132,2022-10-20,108869,105240,38,Medium,High,Cancelled,17,-3629,0
P247,2023-09-12,214,2024-04-13,310,2024-07-18,125186,121545,16,Low,Medium,Completed,96,-3641,0
P248,2022-02-10,314,2022-12-21,299,2022-12-06,54674,85305,49,Medium,Low,Cancelled,-15,30631,0
P249,2023-03-01,249,2023-11-05,286,2023-12-12,186926,212922,11,Low,Medium,Completed,37,25996,0
P250,2020-03-17,98,2020-06-23,121,2020-07-16,66271,76374,14,Low,High,Completed,23,10103,0
